"34,35,36",113,36,0.001
"44,45",100,44,0.001
"44,45",103,44,0.001
"44,46",116,46,0.001
"34,35",110,34,0.001
"44,45,46,43",108,45,0.001
"44,45",6,45,0.001
"14,13,16",9,13,0.001
"35,34",15,34,0.001
"4,5",11,5,0.001
"14,15",4,14,0.001
"3,5,4",14,5,0.001
"32,34,35",18,35,0.001
"35,34,33",2,34,0.001
"16,14,15",18,14,0.001
5,6,5,0.001
"15,14",15,15,0.001
"24,25",14,24,0.001
5,5,5,0.001
"44,45",9,44,0.001
"25,24,26,23",15,24,0.001
"14,15,16",12,16,0.001
"25,24",13,24,0.001
"34,35,33",6,34,0.001
"4,5,3",3,3,0.001
"35,34,33",14,35,0.001
"24,25",9,25,0.001
"5,4",3,5,0.001
"24,25",12,25,0.001
"44,45",18,45,0.001
25,20,25,0.001
"43,45,44,46",16,45,0.001
"34,36,33",14,34,0.001
"44,46,45,43",5,46,0.001
"14,15,13",11,15,0.001
"14,15",14,15,0.001
"25,24",11,24,0.001
"24,25",8,24,0.001
