tab,scan,filter,sel,preds,gp_ob,lg_preds
cast_info,[],[1],2.86102294921875e-06,"[[1, '=', 172968]]",[],"[1, '=', 172968]"
cast_info,[],"[2, 1]",0.3616933822631836,"[[1, '<', 3194645]]",[],"[1, '<', 3194645]"
cast_info,[],"[2, 1, 6]",9.5367431640625e-07,"[[1, '=', 1742124], [6, '>', 2]]",[],"['and', [[1, '=', 1742124], [6, '>', 2]]]"
cast_info,[],"[2, 6]",0.08413887023925781,"[[6, '=', 2]]",[],"[6, '=', 2]"
cast_info,[],"[2, 1, 6]",0.2189188003540039,"[[1, '>', 681261], [6, '>', 1]]",[],"['and', [[1, '>', 681261], [6, '>', 1]]]"
cast_info,[],"[1, 6]",0.09296131134033203,"[[1, '>', 1278953], [6, '<', 2]]",[],"['and', [[1, '>', 1278953], [6, '<', 2]]]"
cast_info,[],"[2, 1, 6]",0.06749439239501953,"[[1, '<', 2945474], [6, '=', 2]]",[],"['and', [[1, '<', 2945474], [6, '=', 2]]]"
cast_info,[],"[2, 1]",0.38335323333740234,"[[1, '>', 284738]]",[],"[1, '>', 284738]"
cast_info,[],[1],0.1680736541748047,"[[1, '<', 1436321]]",[],"[1, '<', 1436321]"
cast_info,[],"[2, 1, 6]",1.9073486328125e-06,"[[1, '=', 2610477], [6, '<', 3]]",[],"['and', [[1, '=', 2610477], [6, '<', 3]]]"
