tab,scan,filter,sel,preds,gp_ob,lg_preds
movie_companies,[],"[1, 2, 3]",0.006615257251487092,"[[2, '=', 160], [3, '=', 2]]",[],"['and', [[2, '=', 160], [3, '=', 2]]]"
movie_companies,[],"[1, 2, 3]",0.422663580057644,"[[2, '<', 77942], [3, '>', 1]]",[],"['and', [[2, '<', 77942], [3, '>', 1]]]"
movie_companies,[],"[2, 3]",0.2270650640829092,"[[2, '<', 9749], [3, '>', 1]]",[],"['and', [[2, '<', 9749], [3, '>', 1]]]"
movie_companies,[],"[1, 2]",4.5992518550315815e-05,"[[2, '=', 43268]]",[],"[2, '=', 43268]"
movie_companies,[],"[1, 2]",0.14825688354694302,"[[2, '>', 83328]]",[],"[2, '>', 83328]"
movie_companies,[],"[1, 2, 3]",0.13059575642362176,"[[2, '>', 50785], [3, '>', 1]]",[],"['and', [[2, '>', 50785], [3, '>', 1]]]"
movie_companies,[],"[2, 3]",0.41343441466854725,"[[2, '<', 80833], [3, '=', 1]]",[],"['and', [[2, '<', 80833], [3, '=', 1]]]"
movie_companies,[],"[1, 2]",0.38830716870055804,"[[2, '<', 5363]]",[],"[2, '<', 5363]"
movie_companies,[],"[1, 2, 3]",0.07278316060587478,"[[2, '<', 239], [3, '<', 2]]",[],"['and', [[2, '<', 239], [3, '<', 2]]]"
movie_companies,[],"[1, 2, 3]",0.5042849696449377,"[[2, '<', 213849], [3, '>', 1]]",[],"['and', [[2, '<', 213849], [3, '>', 1]]]"
movie_companies,[],"[1, 2, 3]",0.21424081682712945,"[[2, '<', 7563], [3, '=', 2]]",[],"['and', [[2, '<', 7563], [3, '=', 2]]]"
movie_companies,[],"[1, 2, 3]",2.2996259275157907e-05,"[[2, '=', 43276], [3, '>', 1]]",[],"['and', [[2, '=', 43276], [3, '>', 1]]]"
movie_companies,[],"[2, 3]",0.36497363095603114,"[[2, '>', 1127], [3, '=', 1]]",[],"['and', [[2, '>', 1127], [3, '=', 1]]]"
