"11,9,10",114,,0.02
"11,10,12,13,9",125,,0.02
"53,50,52,51,49",116,"50,51",0.02
"89,91,90,93,88",119,"89,88",0.02
71,115,71,0.02
"91,90,92,89",109,,0.02
"30,31,28,29,32",18,31,0.02
"30,29,31",14,31,0.02
"91,92,90,89,87",11,,0.02
"91,92,90",14,"90,91",0.02
"30,31,29,32",5,31,0.02
"10,11,12",1,11,0.02
"10,11",10,10,0.02
"10,9,11,8,13",12,8,0.02
"52,51,54,50,47,53",10,"51,53",0.02
"73,70,71,72,68,69",5,,0.02
"91,89,90,88,93",15,90,0.02
"30,31,32,28",9,"31,30",0.02
"91,92,90,88,89,94",20,91,0.02
"71,70,72,68",15,"72,70",0.02
"90,92,89,93,91",9,"92,90",0.02
"31,29,30,28",4,31,0.02
"69,70,71,73",6,,0.02
91,2,,0.02
"71,69,70",20,71,0.02
"90,92,89,91,88",20,92,0.02
"90,91,88,89,92",20,"89,91",0.02
74,9,74,0.02
"90,91,92,89",13,89,0.02
"70,74,71,72,69,73",10,"73,72",0.02
"71,72,70,69,73",3,69,0.02
"50,49,51,52",6,,0.02
"50,51,52,48,49",12,52,0.02
"71,70,72,74",9,"74,71",0.02
