"14,15",504,"15,14",1
"5,4,3",511,,1
43,587,43,1
24,622,24,1
"4,5,3",619,"4,3",1
"44,43,45",510,45,1
"35,34,36",18,"35,34",1
"45,44",17,"45,44",1
"14,15,16,13",15,15,1
"14,15,13",7,,1
"14,15",15,15,1
"15,14,16",20,,1
25,4,,1
"24,23,25,26",8,"25,26",1
"24,23,26,25",16,"26,23",1
"44,45",20,44,1
"34,35",9,"34,35",1
"44,45,46",15,,1
"14,15",10,,1
25,1,,1
25,17,25,1
45,12,,1
"35,34,36",5,36,1
"35,34,33",6,34,1
"5,4,3",19,5,1
"14,15",15,"15,14",1
"45,44,46",15,,1
"5,4",16,"4,5",1
5,1,5,1
"3,5,4",6,4,1
"4,5,6",20,"6,5",1
"5,4,3",1,4,1
"35,34,36",4,34,1
4,10,,1
"24,25,26,23",1,"26,24",1
"34,36,35",19,36,1
"43,46,44,45",10,"46,45",1
"14,16,15",7,,1
"14,15",7,"15,14",1
3,17,,1
"5,4",11,"4,5",1
"4,5",18,4,1
"5,4",17,"4,5",1
"45,43",3,"43,45",1
"15,14,13",16,"14,13",1
"34,36",14,36,1
"15,16,14",5,16,1
"25,24",16,,1
"15,14",4,,1
"34,35,33",17,34,1
"14,15,16",2,15,1
"4,5",1,5,1
"44,45",7,"44,45",1
"4,5",2,,1
"15,14",12,,1
"14,15,16",3,"16,15",1
"4,5,7,3",1,"7,3",1
"15,14",11,"14,15",1
"14,15",1,"14,15",1
5,9,5,1
"13,15",12,,1
44,3,44,1
"34,35,36,33",10,35,1
"4,5,3",8,"4,5",1
"24,25",2,25,1
"14,15,16",2,"15,16",1
"35,34,33",8,"35,34",1
"35,34",20,34,1
"16,15,14",16,15,1
34,11,34,1
5,16,,1
"34,35",4,34,1
"14,15,13",5,"14,13",1
"5,3,4",8,4,1
"14,15",17,"15,14",1
"34,35,36",2,"36,34",1
"24,25,22",18,"24,22",1
"36,34,33,35",2,,1
"24,25,23",3,"24,23",1
"4,6,5",9,"6,5",1
"14,15",18,,1
"34,35,33",9,"35,33",1
"46,45,44",6,"44,46",1
"25,24",18,,1
"25,24",15,,1
"4,5,3,6",18,,1
"44,45",9,,1
"45,46",6,45,1
"13,15,14",11,14,1
"24,25",19,"25,24",1
"14,16,15",19,"14,15",1
"35,34",17,"34,35",1
"15,14",4,"15,14",1
15,6,15,1
"44,45,46",10,46,1
"5,3,4,6",14,"5,4",1
"35,33,34",5,34,1
"44,45,43",9,43,1
"35,34,32",11,,1
"14,15,13",16,15,1
"25,24,23,26",10,,1
"24,25",5,"24,25",1
"34,35,36",5,34,1
"5,4",12,,1
"15,13,14,16",18,14,1
"34,35,33,36",3,"34,33",1
"35,34",2,,1
5,9,,1
"24,25",19,"25,24",1
"44,43,45",7,44,1
"34,35",18,,1
"26,25,23,24",1,,1
"36,35,34",3,36,1
"35,34,33",5,35,1
"4,5",7,,1
"44,45",13,"45,44",1
"34,35",1,35,1
"25,24,26",18,26,1
"4,2",5,,1
"35,34",13,,1
"5,4",13,,1
"24,25,26",13,"25,26",1
"4,5",4,,1
"15,14,13",17,"15,13",1
"34,35",7,"34,35",1
35,1,35,1
"45,44",10,,1
44,5,44,1
"4,5",17,"5,4",1
"14,15",3,,1
"35,34",6,"35,34",1
"44,46,45",19,,1
"5,4",19,,1
"5,4",6,,1
"34,35",16,"35,34",1
"4,5",6,"4,5",1
"14,15",5,"14,15",1
"4,5,3",18,"3,4",1
"13,14,15,16",4,"13,14",1
"44,46,45",12,,1
"24,25",12,"25,24",1
"34,35,36",14,,1
"5,4",8,,1
"4,5",16,5,1
"36,35,34",19,"36,34",1
"24,25",12,"24,25",1
"44,45,46",9,,1
"25,24",17,,1
"15,16,14",15,,1
"15,14,13,16",1,14,1
"34,35",14,35,1
"24,25,26,23",7,"26,25",1
"34,35",12,,1
"14,16,15",9,15,1
"15,14,16",8,,1
"25,24",9,"24,25",1
"5,4",9,,1
"5,3,6",1,,1
"35,34,33,36",11,33,1
"16,14,13",9,,1
"44,45,46",19,,1
"35,34",16,34,1
"4,6,3,5",17,"3,5",1
35,7,,1
"14,15,16,13",11,,1
"44,43,45",15,"44,43",1
"25,24",6,24,1
