"5,2,4,3,7,1",9,"5,4",0.023,4
"12,13,11,14",8,"14,13",0.056,5
"7,2,5,8,6",11,"8,5",0.123,5
"15,13,16,18,12,14",6,,0.031,6
"22,23,20,21",10,23,0.189,6
"13,15,16,11,17,18",10,"15,13",0.18,7
"13,15,12,14",15,"13,14",0.126,7
"16,15,13,11,12,17",4,"12,17",0.009,7
"15,14,11,13,12",8,15,0.002,7
"19,16,18,21,20",13,16,0.064,7
"2,6,5,12,4,7",1,,0.175,7
"13,12,14,15",14,"14,12",0.176,7
"23,22,20,21",22,,0.174,7
"14,15,11,17,12,16",24,,0.108,7
"1,5,6,2,11,4",6,,0.039,7
"21,23,22,24,25",16,"22,23",0.063,8
"8,12,9,7,11,6",17,6,0.183,8
"8,9,7,4,13,5",4,9,0.164,8
"22,18,21",6,,0.019,8
"1,3,6,8,4,12",8,"4,12",0.147,8
"17,15,19,13,16,11",13,"15,16",0.133,8
"6,3,9,5,16",15,3,0.115,8
"20,19,18,17,16,15",10,"17,18",0.099,8
"15,14,12,16,13,17",16,15,0.014,9
"22,21,23,24",17,,0.12,9
"8,9",9,,0.143,9
"13,12,10,11,14",18,12,0.094,9
"15,12",19,,0.1,9
"3,1,5,12,2,6",15,,0.186,9
19,11,19,0.045,9
"3,11,1,10,7,2",13,"1,2",0.191,10
"12,14,13,15",2,,0.188,10
"13,15,12,14,11",8,"15,14",0.058,10
"13,12,16,15,11,10",7,15,0.164,10
"19,17,24,21",20,21,0.063,10
"18,17,22",12,"18,22",0.067,10
"16,22",4,16,0.056,10
"12,13,17,20,15,11",2,11,0.195,10
"13,15,25,12,16,19",14,,0.194,10
"24,22,21,23",14,23,0.103,10
"13,12,11,14,10",4,,0.131,11
"1,3,7,5,2,8",7,"8,5",0.149,11
"8,10,11,13,5,9",1,,0.083,11
"23,25,22,20",6,"23,20",0.123,11
"22,21,23",10,"21,22",0.053,11
"1,3,6,2,5,7",11,5,0.03,11
9,14,9,0.036,11
"14,13,12",7,"14,13",0.198,12
"16,14,13,12",10,,0.084,12
"22,23,21,20",23,,0.13,12
17,18,17,0.175,12
"16,9,10,5,3",11,"9,3",0.01,13
21,24,21,0.116,13
"22,24,21",3,,0.004,13
"15,14,13,11,12,9",5,12,0.161,13
"5,6,3,10,7,2",11,6,0.012,13
"12,16,11,14,18,13",24,"16,13",0.126,13
"11,17,13,15,16",14,"13,15",0.092,13
"5,4",8,"5,4",0.167,14
"14,11,23,18,16",9,23,0.132,14
"12,2,4,1,5,8",5,"5,8",0.187,14
"21,19,16",3,16,0.03,15
"15,17,19,14,11,13",2,17,0.093,15
"14,15,19,16,11,12",20,14,0.181,16
"8,9,14,11,6",7,,0.134,16
"12,23",6,23,0.065,18
"21,22,11,20,23,15",8,21,0.172,23
"25,29,26,27,28,30",16,26,0.013,24
"31,32,33,36,40,34",16,"34,33",0.001,24
"39,41,40,46,44,43",7,"41,46",0.066,25
"36,41,32,37",11,,0.086,25
"41,42,45,40,44,37",13,42,0.007,25
"29,27,23,28,26,22",9,29,0.074,26
"36,35,32,39",16,,0.163,27
"40,42,41,39,38,43",11,"43,42",0.067,27
"27,30,28,29,26,25",8,,0.123,27
"24,20,29,28,26,27",17,26,0.163,27
"41,38,42,40,39,37",4,"39,37",0.093,27
"27,25,28,26,34,29",14,"29,28",0.061,28
"33,30,34,32,38,31",13,,0.129,28
"41,40,39,44,38",13,"44,41",0.129,28
"27,28,33,29,31,30",10,"29,30",0.112,28
"28,27,25,29,26,22",18,"25,28",0.108,28
"24,13,18,27,17,14",6,,0.067,28
"28,18,20,24,13,19",14,"28,20",0.181,29
"41,39,38,42,40,37",20,38,0.088,29
"25,31",4,25,0.155,29
"37,33,34,29,31,26",3,37,0.126,29
"14,20,8,15,16,13",6,"16,20",0.179,29
"22,31,20,27,24,33",19,"27,22",0.046,29
"14,15,16,8,11,18",4,15,0.128,29
"27,26,22,20,43,25",19,25,0.14,29
"21,8,15,13,14,25",8,"15,8",0.042,29
"20,8,10,14,15,13",3,10,0.102,29
"8,21,20,23,15,29",11,,0.077,29
"27,28,29,25,26",1,"26,27",0.082,29
"37,33,34,36",4,,0.01,29
"13,15,14,8,11,16",17,"16,15",0.062,29
"26,28,27,25,32,29",12,"25,32",0.16,29
"30,25,28",6,,0.155,29
"23,19,21,8,20,24",18,"8,24",0.035,30
"25,27,26,32,22,20",1,27,0.192,30
25,13,25,0.061,30
"28,26,20,27,29,30",6,,0.094,30
"26,24,28,20,27,30",4,28,0.018,31
"27,25,29,23,28,26",1,23,0.165,31
"20,8,25,14,12,10",8,25,0.089,31
"14,15,20,17,10,16",5,"20,10",0.146,31
27,5,27,0.097,31
"22,21",10,"22,21",0.186,31
