tab,scan,filter,sel,preds,gp_ob,lg_preds
lineitem,"[8, 9, 4, 5, 6, 7]",[10],0.4206133658452844,"[[10, '<=', 912441600.0]]","[8, 9]","[10, '<=', 912441600.0]"
lineitem,"[5, 6]","[0, 8]",0.10498187869853304,"[[8, '=', 1]]","[6, 5]","[8, '=', 1]"
lineitem,[14],"[0, 14, 11, 12, 10]",0.0020333858624681143,"[[14, '=', [2, 6]], [12, '>=', 757353600.0], [12, '<', 788889600.0]]",[14],"['and', [[14, '=', [2, 6]], [12, '>=', 757353600.0], [12, '<', 788889600.0]]]"
lineitem,"[5, 6]","[1, 10]",0.005280136403523757,"[[10, '>=', 809884800.0], [10, '<', 812476800.0]]",[],"['and', [[10, '>=', 809884800.0], [10, '<', 812476800.0]]]"
lineitem,"[5, 4]","[1, 4]",1.0095710805862486,[],[],[]
lineitem,"[4, 0]",[],1.0095710805862486,[],"[0, 4]",[]
lineitem,"[5, 6]","[1, 4, 14, 13]",0.00777020073018553,"[[4, '>=', 1], [4, '<=', 11], [14, '=', [4, -1]], [13, '=', 2], [4, '>=', 10], [4, '<=', 20], [14, '=', [4, -1]], [13, '=', 2], [4, '>=', 20], [4, '<=', 30], [14, '=', [4, -1]], [13, '=', 2]]",[],"['or', [['and', [[4, '>=', 1], [4, '<=', 11], [14, '=', [4, -1]], [13, '=', 2]]], ['and', [[4, '>=', 10], [4, '<=', 20], [14, '=', [4, -1]], [13, '=', 2]]], ['and', [[4, '>=', 20], [4, '<=', 30], [14, '=', [4, -1]], [13, '=', 2]]]]]"
lineitem,[4],"[1, 2, 10]",8.333548616672597e-07,[],[],[]
lineitem,[],[],0.420654200233506,[],[],[]
lineitem,"[0, 5, 6]","[0, 10]",0.2279142211173789,"[[10, '>', 795196800.0]]","[6, 5, 0]","[10, '>', 795196800.0]"
lineitem,[],"[0, 11, 12]",0.1402186223144098,[],[],[]
lineitem,"[5, 6]","[0, 2]",0.420654200233506,[],"[5, 6]",[]
lineitem,"[5, 6]","[10, 6, 4]",0.008106042739437436,"[[10, '>=', 757353600.0], [10, '<', 788889600.0], [6, '>=', 0.049999999999999996], [6, '<=', 0.06999999999999999], [4, '<', 24]]",[],"['and', [[10, '>=', 757353600.0], [10, '<', 788889600.0], ['and', [[6, '>=', 0.049999999999999996], [6, '<=', 0.06999999999999999]]], [4, '<', 24]]]"
lineitem,"[10, 5, 6]","[2, 0, 10]",0.12983168731858907,"[[10, '>=', 788889600.0], [10, '<=', 851961600.0]]",[10],"['and', [[10, '>=', 788889600.0], [10, '<=', 851961600.0]]]"
