tab,scan,filter,sel,preds,gp_ob,lg_preds
title,[],"[0, 3, 4]",0.00829008986204278,"[[3, '<', 3], [4, '=', 2008]]",[],"['and', [[3, '<', 3], [4, '=', 2008]]]"
title,[],[0],0.41666402986963674,[],[],[]
title,[],[0],7.910391089735477e-06,[],[],[]
title,[],"[0, 3, 4]",7.910391089735477e-06,"[[3, '=', 7], [4, '>', 0]]",[],"['and', [[3, '=', 7], [4, '>', 0]]]"
title,[],"[0, 4]",0.40452948993798254,"[[4, '<', 2000]]",[],"[4, '<', 2000]"
title,[],[0],0.41666402986963674,[],[],[]
title,[],[0],7.910391089735477e-06,[],[],[]
title,[],[0],0.41666402986963674,[],[],[]
title,[],"[0, 3]",0.2305087963548918,"[[3, '<', 7]]",[],"[3, '<', 7]"
title,[],"[0, 3, 4]",0.007340842931274522,"[[3, '=', 7], [4, '=', 1994]]",[],"['and', [[3, '=', 7], [4, '=', 1994]]]"
title,[],[0],0.41666402986963674,[],[],[]
title,[],"[0, 3, 4]",0.3053964688014175,"[[3, '>', 4], [4, '<', 2004]]",[],"['and', [[3, '>', 4], [4, '<', 2004]]]"
title,[],"[0, 3, 4]",0.015749588659663333,"[[3, '=', 7], [4, '=', 2013]]",[],"['and', [[3, '=', 7], [4, '=', 2013]]]"
title,[],[0],7.910391089735477e-06,[],[],[]
title,[],[6],0.5,"[[6,'=',[1,2,3]]]",[],"[6,'=',[1,2,3]]"
title,[],[6],0.41666402986963674,"[[6,'=',1]]",[],"[6,'=',1]"
title,[],[6],0.41666402986963674,"[[6,'=',2]]",[],"[6,'=',2]"
title,[],"[0, 4]",0.4585258195165169,"[[4, '>', 1978]]",[],"[4, '>', 1978]"
title,[],"[0, 3, 4]",0.0012023794456397924,"[[3, '<', 4], [4, '=', 1966]]",[],"['and', [[3, '<', 4], [4, '=', 1966]]]"
title,[],[6],7.910391089735477e-06,"[[6,'=',3]]",[],"[6,'=',3]"
title,[],[6],7.910391089735477e-06,"[[6,'=',4]]",[],"[6,'=',4]"
