tab,scan,filter,sel,preds,gp_ob,lg_preds
title,[],"['t_id', 't_kind_id', 't_production_year']",0.00829008986204278,"[[3, '<', 3], [4, '=', 2008]]",[],"['and', [[3, '<', 3], [4, '=', 2008]]]"
title,[],['t_id'],0.4166640298696368,[],[],[]
title,[],['t_id'],7.910391089735479e-06,[],[],[]
title,[],"['t_id', 't_kind_id', 't_production_year']",7.910391089735479e-06,"[[3, '=', 7], [4, '>', 0]]",[],"['and', [[3, '=', 7], [4, '>', 0]]]"
title,[],"['t_id', 't_production_year']",0.40452948993798254,"[[4, '<', 2000]]",[],"[4, '<', 2000]"
title,[],['t_id'],0.4166640298696368,[],[],[]
title,[],['t_id'],7.910391089735479e-06,[],[],[]
title,[],['t_id'],0.4166640298696368,[],[],[]
title,[],"['t_id', 't_kind_id']",0.2305087963548918,"[[3, '<', 7]]",[],"[3, '<', 7]"
title,[],"['t_id', 't_kind_id', 't_production_year']",0.007340842931274522,"[[3, '=', 7], [4, '=', 1994]]",[],"['and', [[3, '=', 7], [4, '=', 1994]]]"
title,[],['t_id'],0.4166640298696368,[],[],[]
title,[],"['t_id', 't_kind_id', 't_production_year']",0.3053964688014175,"[[3, '>', 4], [4, '<', 2004]]",[],"['and', [[3, '>', 4], [4, '<', 2004]]]"
title,[],"['t_id', 't_kind_id', 't_production_year']",0.015749588659663333,"[[3, '=', 7], [4, '=', 2013]]",[],"['and', [[3, '=', 7], [4, '=', 2013]]]"
title,[],['t_id'],7.910391089735479e-06,[],[],[]
title,[],['t_phonetic_code'],0.5,"[[6, '=', [-1, -1, -1]]]",[],"[6, '=', [1, 2, 3]]"
