tab,scan,filter,sel,preds,gp_ob,lg_preds
widetable100,"[11, 66]",[86],0.7271,"[[86, '>=', 2730]]","[11, 66]","[86, '>=', 2730]"
widetable100,"[27, 52, 14, 32]",[87],0.211,"[[87, '<', 2119]]","[14, 27, 52, 32]","[87, '<', 2119]"
widetable100,"[89, 57]","[37, 17]",0.2271,"[[37, '>=', 7298], [17, '>', 1693]]",[],"['and', [[37, '>=', 7298], [17, '>', 1693]]]"
widetable100,"[76, 21, 61]",[24],0.9229,"[[24, '<=', 9239]]","[21, 61, 76]","[24, '<=', 9239]"
widetable100,"[5, 32, 77]","[85, 83]",0.5167,"[[85, '<=', 6992], [83, '>', 2524]]",[83],"['and', [[85, '<=', 6992], [83, '>', 2524]]]"
widetable100,"[11, 66]",[86],0.7271,"[[86, '>=', 2730]]","[11, 66]","[86, '>=', 2730]"
widetable100,"[27, 52, 14, 32]",[87],0.211,"[[87, '<', 2119]]","[14, 27, 52, 32]","[87, '<', 2119]"
widetable100,"[89, 57]","[37, 17]",0.2271,"[[37, '>=', 7298], [17, '>', 1693]]",[],"['and', [[37, '>=', 7298], [17, '>', 1693]]]"
widetable100,"[76, 21, 61]",[24],0.9229,"[[24, '<=', 9239]]","[21, 61, 76]","[24, '<=', 9239]"
widetable100,"[5, 32, 77]","[85, 83]",0.5167,"[[85, '<=', 6992], [83, '>', 2524]]",[83],"['and', [[85, '<=', 6992], [83, '>', 2524]]]"
widetable100,"[11, 66]",[86],0.7271,"[[86, '>=', 2730]]","[11, 66]","[86, '>=', 2730]"
widetable100,"[27, 52, 14, 32]",[87],0.211,"[[87, '<', 2119]]","[14, 27, 52, 32]","[87, '<', 2119]"
widetable100,"[89, 57]","[37, 17]",0.2271,"[[37, '>=', 7298], [17, '>', 1693]]",[],"['and', [[37, '>=', 7298], [17, '>', 1693]]]"
widetable100,"[76, 21, 61]",[24],0.9229,"[[24, '<=', 9239]]","[21, 61, 76]","[24, '<=', 9239]"
widetable100,"[5, 32, 77]","[85, 83]",0.5167,"[[85, '<=', 6992], [83, '>', 2524]]",[83],"['and', [[85, '<=', 6992], [83, '>', 2524]]]"
widetable100,"[11, 66]",[86],0.7271,"[[86, '>=', 2730]]","[11, 66]","[86, '>=', 2730]"
widetable100,"[27, 52, 14, 32]",[87],0.211,"[[87, '<', 2119]]","[14, 27, 52, 32]","[87, '<', 2119]"
widetable100,"[89, 57]","[37, 17]",0.2271,"[[37, '>=', 7298], [17, '>', 1693]]",[],"['and', [[37, '>=', 7298], [17, '>', 1693]]]"
widetable100,"[76, 21, 61]",[24],0.9229,"[[24, '<=', 9239]]","[21, 61, 76]","[24, '<=', 9239]"
widetable100,"[5, 32, 77]","[85, 83]",0.5167,"[[85, '<=', 6992], [83, '>', 2524]]",[83],"['and', [[85, '<=', 6992], [83, '>', 2524]]]"
widetable100,"[11, 66]",[86],0.7271,"[[86, '>=', 2730]]","[11, 66]","[86, '>=', 2730]"
widetable100,"[27, 52, 14, 32]",[87],0.211,"[[87, '<', 2119]]","[14, 27, 52, 32]","[87, '<', 2119]"
widetable100,"[89, 57]","[37, 17]",0.2271,"[[37, '>=', 7298], [17, '>', 1693]]",[],"['and', [[37, '>=', 7298], [17, '>', 1693]]]"
widetable100,"[76, 21, 61]",[24],0.9229,"[[24, '<=', 9239]]","[21, 61, 76]","[24, '<=', 9239]"
widetable100,"[5, 32, 77]","[85, 83]",0.5167,"[[85, '<=', 6992], [83, '>', 2524]]",[83],"['and', [[85, '<=', 6992], [83, '>', 2524]]]"
widetable100,"[11, 66]",[86],0.7271,"[[86, '>=', 2730]]","[11, 66]","[86, '>=', 2730]"
widetable100,"[27, 52, 14, 32]",[87],0.211,"[[87, '<', 2119]]","[14, 27, 52, 32]","[87, '<', 2119]"
widetable100,"[89, 57]","[37, 17]",0.2271,"[[37, '>=', 7298], [17, '>', 1693]]",[],"['and', [[37, '>=', 7298], [17, '>', 1693]]]"
widetable100,"[76, 21, 61]",[24],0.9229,"[[24, '<=', 9239]]","[21, 61, 76]","[24, '<=', 9239]"
widetable100,"[5, 32, 77]","[85, 83]",0.5167,"[[85, '<=', 6992], [83, '>', 2524]]",[83],"['and', [[85, '<=', 6992], [83, '>', 2524]]]"
