tab,scan,filter,sel,preds,gp_ob,lg_preds
lineitem,"[8, 9, 4, 5, 6, 7]",[10],0.42061336584528436,"[[10, '<=', '1998-12-01']]","[9, 8]","[10, '<=', 912441600.0]"
customer,"[0, 1, 5, 2, 4, 7]","[0, 3]",0.5882333333333334,[],"[4, 5, 0, 1, 2, 7]",[]
orders,[],"[1, 0, 4]",0.021193333333333335,"[[4, '>=', '1993-10-01'], [4, '<', '1994-2-01']]",[],"['and', [[4, '>=', 749404800.0], [4, '<', 760032000.0]]]"
lineitem,"[5, 6]","[0, 8]",0.10498187869853305,"[[8, '=', 'R']]","[5, 6]","[8, '=', 1]"
nation,[1],[0],6.8,[],[1],[]
partsupp,"[0, 3, 2]",[1],0.41666875,[],"[0, 3, 2]",[]
supplier,[],"[0, 3]",1.0,[],[],[]
nation,[],"[0, 1]",0.04,"[[1, '=', 'GERMANY']]",[],"[1, '=', 'GERMANY']"
orders,[5],[0],0.4166666666666667,[],[],[]
lineitem,[14],"[0, 14, 11, 12, 10]",0.002033385862468114,"[[14, '=', ""['MAIL', 'SHIP']""], [12, '>=', '1994-01-01'], [12, '<', '1995-01-01']]",[14],"['and', [[14, '=', [2, 6]], [12, '>=', 757353600.0], [12, '<', 788889600.0]]]"
customer,[0],[],0.5882333333333334,[],[0],[]
orders,[0],[],0.40825,[],[],[]
lineitem,"[5, 6]","[1, 10]",0.005280136403523757,"[[10, '>=', '1995-09-01'], [10, '<', '1995-10-01']]",[],"['and', [[10, '>=', 809884800.0], [10, '<', 812476800.0]]]"
part,[4],[0],1.0,[],[],[]
partsupp,[1],"[0, 1]",0.5,[],[1],[]
part,"[3, 4, 5]","[0, 3, 4, 5]",0.1471,"[[3, '!=', 'Brand#45'], [4, '!=', 'MEDIUM POLISHED%'], [5, '=', '[49, 14, 23, 45, 19, 3, 36, 9]']]","[3, 4, 5]","['and', [[3, '!=', 14], [4, '!=', [19, 54, 61, 70, 83]], [5, '=', [49, 14, 23, 45, 19, 3, 36, 9]]]]"
supplier,[0],[6],0.0005,[],[],[]
lineitem,"[5, 4]","[1, 4]",1.0095710805862486,[],[],[]
part,[],"[0, 3, 6]",0.00095,"[[3, '=', 'Brand#23'], [6, '=', 'MED BOX']]",[],"['and', [[3, '=', 23], [6, '=', 12]]]"
customer,"[1, 0]",[],1.0,[],"[0, 1]",[]
orders,"[0, 4, 3]",[0],1.0,[],"[1, 3, 0, 4]",[]
lineitem,"[4, 0]",[],1.0095710805862486,[],"[4, 0]",[]
lineitem,"[5, 6]","[1, 4, 14, 13]",0.00777020073018553,"[[4, '>=', '1'], [4, '<=', '11'], [14, '=', ""['AIR', 'AIR REG']""], [13, '=', 'DELIVER IN PERSON'], [4, '>=', '10'], [4, '<=', '20'], [14, '=', ""['AIR', 'AIR REG']""], [13, '=', 'DELIVER IN PERSON'], [4, '>=', '20'], [4, '<=', '30'], [14, '=', ""['AIR', 'AIR REG']""], [13, '=', 'DELIVER IN PERSON']]",[],"['or', [['and', [[4, '>=', 1], [4, '<=', 11], [14, '=', [4, -1]], [13, '=', 2]]], ['and', [[4, '>=', 10], [4, '<=', 20], [14, '=', [4, -1]], [13, '=', 2]]], ['and', [[4, '>=', 20], [4, '<=', 30], [14, '=', [4, -1]], [13, '=', 2]]]]]"
part,[],"[0, 3, 6, 5]",0.00245,"[[3, '=', 'Brand#12'], [6, '=', ""['SM CASE', 'SM BOX', 'SM PACK', 'SM PKG']""], [5, '>=', '1'], [5, '<=', '5'], [3, '=', 'Brand#23'], [6, '=', ""['MED BAG', 'MED BOX', 'MED PKG', 'MED PACK']""], [5, '>=', '1'], [5, '<=', '10'], [3, '=', 'Brand#34'], [6, '=', ""['LG CASE', 'LG BOX', 'LG PACK', 'LG PKG']""], [5, '>=', '1'], [5, '<=', '15']]",[],"['or', [['and', [[3, '=', 12], [6, '=', [17, 1, 23, 0]], ['and', [[5, '>=', 1], [5, '<=', 5]]]]], ['and', [[3, '=', 23], [6, '=', [25, 12, 28, 9]], ['and', [[5, '>=', 1], [5, '<=', 10]]]]], ['and', [[3, '=', 9], [6, '=', [27, 10, 21, 4]], ['and', [[5, '>=', 1], [5, '<=', 15]]]]]]]"
part,"[0, 2]","[0, 5, 4]",0.004375,"[[5, '=', '15'], [4, '=', '%BRASS']]",[0],"['and', [[5, '=', 15], [4, '=', [1, 7, 8, 9, 11, 14, 15, 16, 18, 23, 24, 27, 29, 30, 31, 32, 35, 40, 46, 66, 70, 73, 86, 89, 106, 117, 135, 141, 143, 146]]]]"
supplier,"[5, 1, 2, 4, 6]","[0, 3]",1.0,[],"[1, 5]",[]
partsupp,[3],"[0, 1, 3]",0.41666875,[],[],[]
nation,[1],"[0, 2]",6.8,[],[1],[]
region,[],"[0, 1]",0.2,"[[1, '=', 'EUROPE']]",[],"[1, '=', 'EUROPE']"
supplier,"[1, 2]","[0, 3]",1.0,[],[1],[]
nation,[],"[0, 1]",0.04,"[[1, '=', 'CANADA']]",[],"[1, '=', 'CANADA']"
partsupp,[1],"[0, 2, 1]",0.33333125,[],[],[]
part,[0],[1],0.0101,[],[],[]
lineitem,[4],"[1, 2, 10]",8.333548616672597e-07,[],[],[]
supplier,[1],"[0, 3]",1.0,[],[1],[]
lineitem,[],[],0.420654200233506,[],[],[]
orders,[],"[0, 2]",0.20386,"[[2, '=', 'F']]",[],"[2, '=', 2]"
nation,[],"[0, 1]",0.04,"[[1, '=', 'SAUDI ARABIA']]",[],"[1, '=', 'SAUDI ARABIA']"
customer,[],"[6, 0]",0.11988333333333333,"[[6, '=', 'BUILDING']]",[],"[6, '=', 4]"
orders,"[4, 7]","[1, 0, 4]",0.20310333333333333,"[[4, '<', '1995-03-15']]","[7, 4]","[4, '<', 795196800.0]"
